,grid1,grid2,category,action
0,0,0,same_grid,none
1,1,1,same_grid,none
2,2,2,same_grid,none
3,3,3,same_grid,none
4,4,4,same_grid,none
5,5,5,same_grid,none
6,6,6,same_grid,none
7,7,7,same_grid,none
8,8,8,same_grid,none
9,9,9,same_grid,none
10,10,10,same_grid,none
11,11,11,same_grid,none
12,12,12,same_grid,none
13,13,13,same_grid,none
14,14,14,same_grid,none
15,15,15,same_grid,none
16,16,16,same_grid,none
17,17,17,same_grid,none
18,18,18,same_grid,none
19,19,19,same_grid,none
20,20,20,same_grid,none
21,21,21,same_grid,none
22,22,22,same_grid,none
23,23,23,same_grid,none
24,24,24,same_grid,none
25,25,25,same_grid,none
26,26,26,same_grid,none
27,27,27,same_grid,none
28,28,28,same_grid,none
29,29,29,same_grid,none
30,30,30,same_grid,none
31,31,31,same_grid,none
32,32,32,same_grid,none
33,33,33,same_grid,none
34,34,34,same_grid,none
35,35,35,same_grid,none
36,36,36,same_grid,none
37,37,37,same_grid,none
38,38,38,same_grid,none
39,39,39,same_grid,none
40,40,40,same_grid,none
41,41,41,same_grid,none
42,42,42,same_grid,none
43,43,43,same_grid,none
44,44,44,same_grid,none
45,45,45,same_grid,none
46,46,46,same_grid,none
47,47,47,same_grid,none
48,48,48,same_grid,none
49,49,49,same_grid,none
50,50,50,same_grid,none
51,51,51,same_grid,none
52,52,52,same_grid,none
53,53,53,same_grid,none
54,54,54,same_grid,none
55,55,55,same_grid,none
56,56,56,same_grid,none
57,57,57,same_grid,none
58,58,58,same_grid,none
59,59,59,same_grid,none
60,60,60,same_grid,none
61,61,61,same_grid,none
62,62,62,same_grid,none
63,63,63,same_grid,none
64,0,1,similar_grid,"vflip, hflip"
65,0,2,similar_grid,inv
66,0,4,similar_grid,add
67,0,7,similar_grid,add
68,0,8,similar_grid,add
69,0,19,similar_grid,add
70,0,34,similar_grid,add
71,1,3,similar_grid,inv
72,1,4,similar_grid,add
73,1,6,similar_grid,add
74,1,9,similar_grid,add
75,1,16,similar_grid,add
76,1,35,similar_grid,add
