grid1,grid2,category,action
0,0,same_grid,none
1,1,same_grid,none
2,2,same_grid,none
3,3,same_grid,none
4,4,same_grid,none
5,5,same_grid,none
6,6,same_grid,none
7,7,same_grid,none
8,8,same_grid,none
9,9,same_grid,none
10,10,same_grid,none
11,11,same_grid,none
12,12,same_grid,none
13,13,same_grid,none
14,14,same_grid,none
15,15,same_grid,none
16,16,same_grid,none
17,17,same_grid,none
18,18,same_grid,none
19,19,same_grid,none
20,20,same_grid,none
21,21,same_grid,none
22,22,same_grid,none
23,23,same_grid,none
24,24,same_grid,none
25,25,same_grid,none
26,26,same_grid,none
27,27,same_grid,none
28,28,same_grid,none
29,29,same_grid,none
30,30,same_grid,none
31,31,same_grid,none
32,32,same_grid,none
33,33,same_grid,none
34,34,same_grid,none
35,35,same_grid,none
36,36,same_grid,none
37,37,same_grid,none
38,38,same_grid,none
39,39,same_grid,none
40,40,same_grid,none
41,41,same_grid,none
42,42,same_grid,none
43,43,same_grid,none
44,44,same_grid,none
45,45,same_grid,none
46,46,same_grid,none
47,47,same_grid,none
48,48,same_grid,none
49,49,same_grid,none
50,50,same_grid,none
51,51,same_grid,none
52,52,same_grid,none
53,53,same_grid,none
54,54,same_grid,none
55,55,same_grid,none
56,56,same_grid,none
57,57,same_grid,none
58,58,same_grid,none
59,59,same_grid,none
60,60,same_grid,none
61,61,same_grid,none
62,62,same_grid,none
63,63,same_grid,none
0,1,similar_grid,"vflip, hflip"
0,2,similar_grid,inv
0,4,similar_grid,add
0,7,similar_grid,add
0,8,similar_grid,add
0,19,similar_grid,add
0,34,similar_grid,add
1,3,similar_grid,inv
1,4,similar_grid,add
1,6,similar_grid,add
1,9,similar_grid,add
1,16,similar_grid,add
1,35,similar_grid,add
2,3,similar_grid,"vflip, hflip"
2,5,similar_grid,add
3,5,similar_grid,add
4,5,similar_grid,inv
6,7,similar_grid,vflip
6,8,similar_grid,hflip
7,9,similar_grid,hflip
8,9,similar_grid,vflip
10,11,similar_grid,add
10,14,similar_grid,add
10,20,similar_grid,inv
10,30,similar_grid,vflip
11,21,similar_grid,inv
11,31,similar_grid,vflip
11,36,similar_grid,hflip
11,37,similar_grid,add
12,22,similar_grid,inv
12,48,similar_grid,add
13,23,similar_grid,inv
13,32,similar_grid,vflip
14,24,similar_grid,inv
14,33,similar_grid,vflip
14,36,similar_grid,hflip
14,37,similar_grid,add
14,43,similar_grid,add
14,50,similar_grid,add
15,25,similar_grid,inv
15,38,similar_grid,hflip
15,48,similar_grid,add
16,26,similar_grid,inv
16,34,similar_grid,"vflip, hflip"
16,48,similar_grid,add
17,27,similar_grid,inv
17,39,similar_grid,hflip
17,49,similar_grid,add
17,50,similar_grid,add
18,28,similar_grid,inv
18,40,similar_grid,hflip
18,49,similar_grid,add
18,63,similar_grid,add
19,29,similar_grid,inv
19,35,similar_grid,"vflip, hflip"
19,49,similar_grid,add
30,41,similar_grid,add
33,43,similar_grid,inv
33,50,similar_grid,add
34,48,similar_grid,add
34,49,similar_grid,add
35,49,similar_grid,add
37,43,similar_grid,add
37,50,similar_grid,add
38,48,similar_grid,add
39,47,similar_grid,add
39,50,similar_grid,add
40,47,similar_grid,add
41,51,similar_grid,inv
42,44,similar_grid,inv
42,45,similar_grid,add
42,46,similar_grid,add
42,61,similar_grid,add
42,62,similar_grid,add
43,50,similar_grid,add
43,51,similar_grid,add
43,53,similar_grid,inv
44,48,similar_grid,add
44,49,similar_grid,add
44,55,similar_grid,add
44,56,similar_grid,add
45,46,similar_grid,turn
45,54,similar_grid,add
45,55,similar_grid,inv
45,61,similar_grid,turn
45,62,similar_grid,turn
46,56,similar_grid,inv
46,61,similar_grid,turn
46,62,similar_grid,turn
47,57,similar_grid,inv
47,58,similar_grid,add
47,63,similar_grid,hflip
48,49,similar_grid,turn
48,51,similar_grid,add
48,52,similar_grid,add
48,55,similar_grid,add
48,56,similar_grid,add
48,57,similar_grid,add
48,58,similar_grid,inv
48,59,similar_grid,add
48,60,similar_grid,add
49,52,similar_grid,add
49,55,similar_grid,add
49,59,similar_grid,inv
49,56,similar_grid,add
49,58,similar_grid,add
50,51,similar_grid,add
50,58,similar_grid,add
50,60,similar_grid,inv
55,56,similar_grid,turn
58,59,similar_grid,turn
58,61,similar_grid,add
58,62,similar_grid,add
58,63,similar_grid,add
59,61,similar_grid,add
59,61,similar_grid,add
61,62,similar_grid,turn
